movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
The Chorus;Drama, Music;2004;97;79;560;55000;364
Departures;Drama, Music;2008;130;81;680;46684;15
In America;Drama;2002;105;77;760;39672;1554
Veer-Zaara;Drama, Family, Musical;2004;192;78;670;46781;292
After the Wedding;Drama;2006;120;77;780;30679;41
Evil;Drama;2003;113;78;610;34615;2
The Triplets of Belleville;Animation, Comedy, Drama;2003;80;78;910;49310;70
Elite Squad: The Enemy Within;Action, Crime, Drama;2010;115;80;710;77061;1
Tangerines;Drama, War;2013;87;82;730;35712;14
Tae Guk Gi: The Brotherhood of War;Action, Drama, War;2004;140;81;640;36758;111
The Visitor;Drama;2007;104;76;790;40811;942
Adam's Apples;Comedy, Crime, Drama;2005;94;78;510;43632;0
The Magdalene Sisters;Drama;2002;114;77;830;25251;489
The Secret of Kells;Animation, Adventure, Family;2009;75;76;810;29734;69
Tokyo Godfathers;Animation, Adventure, Comedy;2003;92;78;730;28642;13
Central Station;Drama;1998;110;80;800;34347;56
Miracle on 34th Street;Comedy, Drama, Family;1947;96;79;880;38649;265
The Edge of Heaven;Drama;2007;122;78;850;29752;74
Le Dîner de Cons;Comedy;1998;80;77;730;35785;407
Joyeux Noel;Drama, History, Music;2005;116;77;700;26757;105
Vampire Hunter D: Bloodlust;Animation, Action, Fantasy;2000;103;77;620;27972;15
The Muppet Christmas Carol;Comedy, Drama, Family;1992;85;77;640;45835;2728
The Shop Around the Corner;Comedy, Drama, Romance;1940;99;81;960;26038;2
Boy A;Drama;2007;102;76;750;36185;11
